AIRLINE,ORIGIN AIRPORT,DESTINATION AIRPORT,DEPARTURE_DELAY,ARRIVAL_DELAY,CANCELlATION
AS,ANC,SEA,-11,-22,0
AA,LAX,PBI,-8,-9,0
US,SFO,CLT,-2,5,0
AA,LAX,MIA,-5,-9,0
AS,SEA,ANC,-1,-21,0
DL,SFO,MSP,-5,8,0
NK,LAS,MSP,-6,-17,0
US,LAX,CLT,14,-10,0
AA,SFO,DFW,-11,-13,0
DL,LAS,ATL,3,-15,0
DL,DEN,ATL,-6,-30,0
AA,LAS,MIA,-8,-10,0
DL,LAX,MSP,0,-4,0
DL,SLC,ATL,-6,-22,0
DL,SEA,MSP,-1,8,0
AS,ANC,SEA,-4,-14,0
DL,ANC,SEA,-14,-24,0
UA,SFO,IAH,-6,-7,0
AS,ANC,PDX,-4,-18,0
DL,PDX,MSP,-5,-12,0
NK,LAS,MCI,25,6,0
AA,SEA,MIA,-8,1,0
NK,LAS,DFW,-1,-1,0
AA,LAX,MIA,-2,-12,0
DL,LAS,MSP,-3,-23,0
UA,LAX,IAH,-3,-11,0
AS,FAI,SEA,-8,-3,0
NK,MSP,FLL,12,25,0
US,LAS,CLT,-10,-31,0
AA,DEN,MIA,21,2,0
NK,PHX,ORD,72,43,0
AA,PHX,MIA,-11,-16,0
AS,ANC,SEA,-200,-200,1
DL,SLC,ATL,-6,10,0
NK,LAS,IAH,-4,-4,0
HA,LAS,HNL,0,15,0
US,ANC,PHX,-9,-10,0
UA,SJU,EWR,3,-11,0
AS,ANC,SEA,-15,-35,0
B6,SJU,JFK,-2,11,0
NK,PBG,FLL,-16,-33,0
NK,PHX,DFW,-1,1,0
AA,PHX,DFW,-200,-200,1
AS,ANC,PDX,-10,-11,0
NK,IAG,FLL,-5,-11,0
B6,SJU,EWR,-14,4,0
US,PHX,CLT,-11,-36,0
AS,ANC,SEA,-11,-12,0
B6,PSE,MCO,-7,-9,0
UA,BQN,EWR,-1,6,0
B6,BQN,MCO,-3,20,0
B6,SJU,BOS,-14,-16,0
B6,SJU,MCO,95,85,0
B6,BQN,MCO,4,-7,0
B6,PSE,MCO,-11,-1,0
B6,SJU,BDL,72,89,0
